library_id	predicted_occupancy_CRX	predicted_occupancy_GFI1	predicted_occupancy_MAZ	predicted_occupancy_MEF2D	predicted_occupancy_NDF1	predicted_occupancy_NRL	predicted_occupancy_RORB	predicted_occupancy_RAX	total_occupancy	diversity	info_content
basal	1.5076361173965949	6.9695419836305765e-06	8.3181458214269e-07	1.2730505493249156e-10	3.0578834431215516e-12	0.022643122208519613	0.2519101213890332	0.011285751007647834	1.793482913488724	1.0	0.48898568679828613
Scramble.1	1.0006772805766564	1.5629856123679172e-07	1.0141546589440933	2.09231044548633e-20	4.230443873477646e-08	0.5738427855305673	4.6888903094312205e-08	1.9104690554825623e-10	2.588674970734267	3.0	2.033248293688149
Scramble.2	0.4260861593383025	5.958604427171284e-12	0.00192566911189495	2.445386755513268e-13	0.08162038412522966	0.23203967033727738	0.0012326959456755396	1.22186664824921e-06	0.7429058007312315	0.0	0.2486953015945107
Scramble.3	2.1661462182968	2.4082724727762673e-05	3.148655826282025e-08	3.600921262960159e-08	2.253761593519463	0.006328707895018345	0.1731068078434795	0.304233413123821	4.903600890899081	2.0	4.3599579982007635
Scramble.4	1.13150916988168	4.543997621881119e-11	0.0006563622611465639	1.1271232508095392e-12	0.0004494089769646645	0.00020567773718006062	4.2719141472522246e-07	2.6941775221950026e-06	1.1328237402724752	1.0	0.002051026974562751
Scramble.5	0.9946825922527714	2.042138211680368e-10	8.726940962368257e-05	9.262902998493994e-20	3.2825478413453007e-10	1.708006885812824e-05	5.962741692263003e-05	3.061642017809506e-08	0.9948466002970647	1.0	0.00023579975408872614
Scramble.6	2.1656702517604858	0.8833147041423551	0.9172755736993448	1.631930383421597e-11	9.796054358314008e-07	0.2524827858978376	7.533718821706471e-07	0.4279258526730924	4.646670901166753	3.0	5.2546286336386965
Scramble.7	2.2769490463735695	1.212957465101368e-07	8.066854990843985e-13	1.1295747877405097e-09	2.1004765765116252e-10	1.078748905699478	0.0004948801453298656	0.003329829014634667	3.3595227838691875	2.0	1.8245949762945284
Scramble.8	1.3754619121006475	0.00012437526779538185	7.354635799463997e-07	6.681076633279578e-09	1.5747497986599415e-09	0.29616830311057035	0.021031950122455192	1.9951042329240094	3.6878915172448843	2.0	2.811465592722797
Scramble.9	3.2313219981267474	1.8316785072707827e-09	1.7088509990720022	5.5981388103972915e-12	0.0026962652157154817	0.006099199641701752	0.021516115928984392	1.1308662695155428e-06	4.970485710688697	2.0	3.2066039581529058
Scramble.10	2.5624832433361773	6.682235059365945e-06	0.005833535510364135	8.649652032478644e-10	3.291861929048881e-06	0.9912987531385472	0.09862124936622832	0.003607253051348716	3.6618540093646192	2.0	2.1201281556198257
Scramble.11	0.4983854335032393	0.00222945176866344	9.947232762317103e-10	8.663556007495291e-11	4.301701826141317e-05	0.0074395616326000495	2.5308323300612805e-05	0.003482349851176731	0.5116051231786004	0.0	0.011707634274840702
Scramble.12	1.3659405835285319	0.10494573629931891	1.3011403410088454e-13	1.7941799928631205e-10	2.3583737017664347e-06	0.0375915254069789	0.041148297806724694	1.891350162735608	3.4409786643304123	2.0	2.4192841667953697
Scramble.13	0.9030994931187516	9.908173502058309e-09	9.818854265680686e-05	1.7830690043876547e-09	0.06806793843213822	0.10054488946701626	0.0001906975796148214	0.0011936528354734638	1.0731948716668938	1.0	0.22662158297427576
Scramble.14	4.749706678617663	4.446266369144303e-06	1.9370169257910747e-06	1.6203128289585721e-09	1.186607156683563e-08	0.00020342220951866737	0.00275486242198072	9.165769108554285e-07	4.752672276595753	1.0	0.009562593634563117
