chip_peak_id	nearby_BCOR_peak_id
CRX.3003	BCOR_1_Adult_Trimmed_peak_637
CRX.3003	BCOR_2_Adult_Trimmed_peak_1187
CRX.3009	BCOR_1_Adult_Trimmed_peak_639
CRX.3009	BCOR_2_Adult_Trimmed_peak_1190
CRX.3043	BCOR_2_Adult_Trimmed_peak_1200
CRX.3046	BCOR_1_Adult_Trimmed_peak_647
CRX.3051	BCOR_2_Adult_Trimmed_peak_1207
CRX.3055	BCOR_2_Adult_Trimmed_peak_1209
CRX.3061	BCOR_2_Adult_Trimmed_peak_1210
CRX.3131	BCOR_1_Adult_Trimmed_peak_660
CRX.3131	BCOR_2_Adult_Trimmed_peak_1233
CRX.3134	BCOR_2_Adult_Trimmed_peak_1234
CRX.3157	BCOR_2_Adult_Trimmed_peak_1241
CRX.3185	BCOR_1_Adult_Trimmed_peak_667
CRX.3190	BCOR_1_Adult_Trimmed_peak_670
CRX.3233	BCOR_1_Adult_Trimmed_peak_679
CRX.3233	BCOR_2_Adult_Trimmed_peak_1265
CRX.3249	BCOR_1_Adult_Trimmed_peak_685
CRX.3249	BCOR_2_Adult_Trimmed_peak_1275
CRX.3262	BCOR_2_Adult_Trimmed_peak_1283
CRX.3284	BCOR_1_Adult_Trimmed_peak_690
CRX.3284	BCOR_2_Adult_Trimmed_peak_1287
CRX.3314	BCOR_1_Adult_Trimmed_peak_696
CRX.3314	BCOR_2_Adult_Trimmed_peak_1297
CRX.3373	BCOR_1_Adult_Trimmed_peak_705
CRX.3373	BCOR_2_Adult_Trimmed_peak_1326
CRX.3389	BCOR_2_Adult_Trimmed_peak_1329
CRX.3396	BCOR_1_Adult_Trimmed_peak_709
CRX.3396	BCOR_2_Adult_Trimmed_peak_1330
CRX.3410	BCOR_2_Adult_Trimmed_peak_1336
CRX.3468	BCOR_2_Adult_Trimmed_peak_1355
CRX.3546	BCOR_1_Adult_Trimmed_peak_729
CRX.3546	BCOR_2_Adult_Trimmed_peak_1381
CRX.3646	BCOR_1_Adult_Trimmed_peak_750
CRX.3646	BCOR_2_Adult_Trimmed_peak_1414
CRX.3684	BCOR_2_Adult_Trimmed_peak_1424
CRX.3687	BCOR_1_Adult_Trimmed_peak_758
CRX.3690	BCOR_1_Adult_Trimmed_peak_759
CRX.3690	BCOR_2_Adult_Trimmed_peak_1426
CRX.3721	BCOR_1_Adult_Trimmed_peak_764
CRX.3721	BCOR_2_Adult_Trimmed_peak_1438
CRX.3722	BCOR_1_Adult_Trimmed_peak_765
CRX.3722	BCOR_2_Adult_Trimmed_peak_1439
CRX.3757	BCOR_2_Adult_Trimmed_peak_1455
CRX.3794	BCOR_2_Adult_Trimmed_peak_1467
CRX.3797	BCOR_2_Adult_Trimmed_peak_1470
CRX.3800	BCOR_1_Adult_Trimmed_peak_774
CRX.3800	BCOR_2_Adult_Trimmed_peak_1473
CRX.3807	BCOR_1_Adult_Trimmed_peak_776
CRX.3807	BCOR_2_Adult_Trimmed_peak_1476
CRX.3816	BCOR_1_Adult_Trimmed_peak_779
CRX.3832	BCOR_2_Adult_Trimmed_peak_1490
CRX.3858	BCOR_2_Adult_Trimmed_peak_1504
CRX.3890	BCOR_2_Adult_Trimmed_peak_1523
CRX.3912	BCOR_2_Adult_Trimmed_peak_1532
CRX.3934	BCOR_2_Adult_Trimmed_peak_1539
CRX.3941	BCOR_2_Adult_Trimmed_peak_1541
CRX.3953	BCOR_1_Adult_Trimmed_peak_806
CRX.3953	BCOR_2_Adult_Trimmed_peak_1546
CRX.3958	BCOR_2_Adult_Trimmed_peak_1550
CRX.3990	BCOR_1_Adult_Trimmed_peak_816
CRX.3990	BCOR_2_Adult_Trimmed_peak_1565
CRX.4009	BCOR_1_Adult_Trimmed_peak_822
CRX.4069	BCOR_2_Adult_Trimmed_peak_1587
CRX.4079	BCOR_1_Adult_Trimmed_peak_836
CRX.4079	BCOR_2_Adult_Trimmed_peak_1589
CRX.4107	BCOR_1_Adult_Trimmed_peak_842
CRX.4107	BCOR_2_Adult_Trimmed_peak_1601
CRX.4191	BCOR_1_Adult_Trimmed_peak_857
CRX.4191	BCOR_2_Adult_Trimmed_peak_1621
CRX.4210	BCOR_2_Adult_Trimmed_peak_1630
CRX.4216	BCOR_2_Adult_Trimmed_peak_1632
CRX.4239	BCOR_2_Adult_Trimmed_peak_1641
CRX.4244	BCOR_1_Adult_Trimmed_peak_866
CRX.4244	BCOR_2_Adult_Trimmed_peak_1642
CRX.4255	BCOR_2_Adult_Trimmed_peak_1646
CRX.4257	BCOR_2_Adult_Trimmed_peak_1647
CRX.4281	BCOR_2_Adult_Trimmed_peak_1659
CRX.4285	BCOR_1_Adult_Trimmed_peak_880
CRX.4306	BCOR_1_Adult_Trimmed_peak_881
CRX.4306	BCOR_2_Adult_Trimmed_peak_1664
CRX.4310	BCOR_2_Adult_Trimmed_peak_1666
CRX.4339	BCOR_1_Adult_Trimmed_peak_889
CRX.4339	BCOR_2_Adult_Trimmed_peak_1676
CRX.4350	BCOR_2_Adult_Trimmed_peak_1681
CRX.4354	BCOR_1_Adult_Trimmed_peak_892
CRX.4354	BCOR_2_Adult_Trimmed_peak_1683
CRX.4368	BCOR_2_Adult_Trimmed_peak_1696
CRX.4397	BCOR_2_Adult_Trimmed_peak_1709
CRX.4415	BCOR_1_Adult_Trimmed_peak_917
CRX.4415	BCOR_2_Adult_Trimmed_peak_1720
CRX.4417	BCOR_1_Adult_Trimmed_peak_918
CRX.4417	BCOR_2_Adult_Trimmed_peak_1721
CRX.4442	BCOR_1_Adult_Trimmed_peak_921
CRX.4443	BCOR_2_Adult_Trimmed_peak_1733
CRX.4444	BCOR_2_Adult_Trimmed_peak_1733
CRX.4457	BCOR_1_Adult_Trimmed_peak_924
CRX.4457	BCOR_2_Adult_Trimmed_peak_1738
CRX.4481	BCOR_2_Adult_Trimmed_peak_1748
CRX.4496	BCOR_1_Adult_Trimmed_peak_933
CRX.4496	BCOR_2_Adult_Trimmed_peak_1751
CRX.4539	BCOR_2_Adult_Trimmed_peak_1760
CRX.4550	BCOR_1_Adult_Trimmed_peak_937
CRX.4550	BCOR_2_Adult_Trimmed_peak_1762
CRX.4583	BCOR_2_Adult_Trimmed_peak_1775
CRX.4589	BCOR_2_Adult_Trimmed_peak_1777
CRX.4599	BCOR_2_Adult_Trimmed_peak_1781
CRX.4601	BCOR_1_Adult_Trimmed_peak_946
CRX.4652	BCOR_1_Adult_Trimmed_peak_960
CRX.4657	BCOR_2_Adult_Trimmed_peak_1816
CRX.4673	BCOR_2_Adult_Trimmed_peak_1824
CRX.4678	BCOR_2_Adult_Trimmed_peak_1827
CRX.4681	BCOR_1_Adult_Trimmed_peak_971
CRX.4681	BCOR_2_Adult_Trimmed_peak_1828
CRX.4699	BCOR_1_Adult_Trimmed_peak_975
CRX.4699	BCOR_2_Adult_Trimmed_peak_1833
CRX.4717	BCOR_1_Adult_Trimmed_peak_981
CRX.4717	BCOR_2_Adult_Trimmed_peak_1838
CRX.4735	BCOR_1_Adult_Trimmed_peak_984
CRX.4735	BCOR_2_Adult_Trimmed_peak_1846
CRX.4755	BCOR_2_Adult_Trimmed_peak_1854
CRX.4756	BCOR_1_Adult_Trimmed_peak_990
CRX.4756	BCOR_2_Adult_Trimmed_peak_1855
CRX.4785	BCOR_2_Adult_Trimmed_peak_1862
CRX.4787	BCOR_1_Adult_Trimmed_peak_997
CRX.4787	BCOR_2_Adult_Trimmed_peak_1863
CRX.4788	BCOR_1_Adult_Trimmed_peak_999
CRX.4788	BCOR_2_Adult_Trimmed_peak_1865
CRX.4801	BCOR_2_Adult_Trimmed_peak_1869
CRX.4830	BCOR_1_Adult_Trimmed_peak_1011
CRX.4830	BCOR_2_Adult_Trimmed_peak_1878
CRX.4862	BCOR_2_Adult_Trimmed_peak_1886
CRX.4864	BCOR_2_Adult_Trimmed_peak_1887
CRX.4881	BCOR_2_Adult_Trimmed_peak_1893
CRX.4895	BCOR_2_Adult_Trimmed_peak_1897
CRX.4921	BCOR_2_Adult_Trimmed_peak_1911
CRX.4956	BCOR_1_Adult_Trimmed_peak_1036
CRX.4956	BCOR_2_Adult_Trimmed_peak_1923
CRX.4972	BCOR_1_Adult_Trimmed_peak_1039
CRX.4972	BCOR_2_Adult_Trimmed_peak_1930
CRX.4978	BCOR_2_Adult_Trimmed_peak_1931
CRX.4994	BCOR_2_Adult_Trimmed_peak_1935
CRX.4995	BCOR_2_Adult_Trimmed_peak_1936
CRX.5002	BCOR_1_Adult_Trimmed_peak_1046
CRX.5005	BCOR_1_Adult_Trimmed_peak_1047
CRX.5005	BCOR_2_Adult_Trimmed_peak_1939
CRX.5016	BCOR_2_Adult_Trimmed_peak_1941
CRX.5031	BCOR_2_Adult_Trimmed_peak_1947
CRX.5045	BCOR_2_Adult_Trimmed_peak_1952
CRX.5050	BCOR_1_Adult_Trimmed_peak_1055
CRX.5050	BCOR_2_Adult_Trimmed_peak_1957
CRX.5057	BCOR_1_Adult_Trimmed_peak_1056
CRX.5057	BCOR_2_Adult_Trimmed_peak_1961
CRX.5058	BCOR_2_Adult_Trimmed_peak_1962
CRX.5071	BCOR_1_Adult_Trimmed_peak_1063
CRX.5071	BCOR_2_Adult_Trimmed_peak_1972
CRX.5112	BCOR_1_Adult_Trimmed_peak_1070
CRX.5119	BCOR_1_Adult_Trimmed_peak_1072
CRX.5119	BCOR_2_Adult_Trimmed_peak_1994
CRX.5125	BCOR_1_Adult_Trimmed_peak_1074
CRX.5125	BCOR_2_Adult_Trimmed_peak_1996
CRX.5143	BCOR_2_Adult_Trimmed_peak_2005
CRX.5152	BCOR_1_Adult_Trimmed_peak_1082
CRX.5152	BCOR_2_Adult_Trimmed_peak_2008
CRX.5163	BCOR_1_Adult_Trimmed_peak_1089
CRX.5163	BCOR_2_Adult_Trimmed_peak_2014
CRX.5173	BCOR_1_Adult_Trimmed_peak_1095
CRX.5173	BCOR_2_Adult_Trimmed_peak_2021
CRX.5196	BCOR_2_Adult_Trimmed_peak_2030
CRX.5231	BCOR_1_Adult_Trimmed_peak_1106
CRX.5231	BCOR_2_Adult_Trimmed_peak_2051
CRX.5232	BCOR_1_Adult_Trimmed_peak_1107
CRX.5232	BCOR_2_Adult_Trimmed_peak_2052
CRX.5257	BCOR_1_Adult_Trimmed_peak_1114
CRX.5257	BCOR_2_Adult_Trimmed_peak_2062
CRX.5264	BCOR_2_Adult_Trimmed_peak_2065
CRX.5268	BCOR_2_Adult_Trimmed_peak_2067
CRX.5296	BCOR_2_Adult_Trimmed_peak_2078
CRX.5442	BCOR_2_Adult_Trimmed_peak_2121
CRX.5444	BCOR_2_Adult_Trimmed_peak_2124
CRX.5456	BCOR_1_Adult_Trimmed_peak_1154
CRX.5460	BCOR_1_Adult_Trimmed_peak_1156
CRX.5460	BCOR_2_Adult_Trimmed_peak_2134
CRX.5479	BCOR_1_Adult_Trimmed_peak_1161
CRX.5494	BCOR_1_Adult_Trimmed_peak_1162
CRX.5560	BCOR_2_Adult_Trimmed_peak_2172
CRX.5566	BCOR_2_Adult_Trimmed_peak_2179
CRX.5582	BCOR_1_Adult_Trimmed_peak_1186
CRX.5598	BCOR_2_Adult_Trimmed_peak_2186
CRX.5639	BCOR_2_Adult_Trimmed_peak_2200
CRX.5715	BCOR_2_Adult_Trimmed_peak_2241
CRX.5737	BCOR_2_Adult_Trimmed_peak_2249
CRX.5745	BCOR_1_Adult_Trimmed_peak_1226
CRX.5758	BCOR_2_Adult_Trimmed_peak_2261
CRX.5768	BCOR_1_Adult_Trimmed_peak_1229
CRX.5782	BCOR_1_Adult_Trimmed_peak_1230
CRX.5782	BCOR_2_Adult_Trimmed_peak_2266
CRX.5809	BCOR_2_Adult_Trimmed_peak_2273
CRX.5820	BCOR_1_Adult_Trimmed_peak_1236
CRX.5820	BCOR_2_Adult_Trimmed_peak_2279
CRX.5884	BCOR_1_Adult_Trimmed_peak_1276
CRX.5884	BCOR_2_Adult_Trimmed_peak_2331
CRX.5912	BCOR_1_Adult_Trimmed_peak_1280
CRX.5912	BCOR_2_Adult_Trimmed_peak_2338
CRX.5972	BCOR_1_Adult_Trimmed_peak_1290
CRX.5972	BCOR_2_Adult_Trimmed_peak_2347
CRX.6002	BCOR_1_Adult_Trimmed_peak_1292
CRX.6002	BCOR_2_Adult_Trimmed_peak_2351
CRX.6051	BCOR_2_Adult_Trimmed_peak_2364
CRX.6052	BCOR_2_Adult_Trimmed_peak_2365
CRX.6066	BCOR_2_Adult_Trimmed_peak_2368
CRX.6070	BCOR_1_Adult_Trimmed_peak_1302
CRX.6070	BCOR_2_Adult_Trimmed_peak_2370
CRX.6148	BCOR_2_Adult_Trimmed_peak_2399
CRX.6156	BCOR_1_Adult_Trimmed_peak_1313
CRX.6156	BCOR_2_Adult_Trimmed_peak_2402
CRX.6223	BCOR_1_Adult_Trimmed_peak_1332
CRX.6280	BCOR_2_Adult_Trimmed_peak_2447
CRX.6303	BCOR_2_Adult_Trimmed_peak_2484
CRX.6320	BCOR_2_Adult_Trimmed_peak_2510
